@relation ClasserSE

@attribute commentaire string
@attribute categorie {Ambiance,Réalisation,Scénario,Acteur}

@data
' vraie petite merveille bercée voix Montand',Ambiance
' Acteurs sympathiques dialogues amusants Preminger gommer coté théâtre coup film passe monotone',Réalisation
' tres tres sympa maitre preminger ennuie jamais voir',Réalisation
' voir histoire cinéma séquences droles meme ensemble franchement ennuyeux',Scénario
' loin Disney préféré histoire personnages complètement farfelus continuent faire rêver adulte valide',Scénario
' film fou délirant survolté surprises',Ambiance
' magnifique dessin-animé Disney faire découvrir jeunes grands partager famille',Scénario
' Disney humour fantastique once ennui',Ambiance
' Décalé drôle absurde fantastique dessin animé voir absolument',Ambiance
' film berçer enfance années voir moin',Scénario
' sais film fidèle livre dessin animée fou complétement absurde',Ambiance
' conteste l’œuvre délirante loufoque Disney d’années c’est plaisant regarder Indémodable',Ambiance
' univers fantastique remplit lapin fleurs chantent',Ambiance
' préfère loin livre disneys charme',Ambiance
' disney part épouse perfection univers Lewis Carroll enchantement',Scénario
' réfléchi fallait vraiment inventer sénatio histoire pareil meilleur disney ennui jamais seule logique logique',Scénario
' Magique',Ambiance
' chef oeuvre inoubliable qualités film burton arrive cheville Génial',Réalisation
' dessin-animé décalé basculer incroyable monde rêves petite fille',Scénario
' disney plaira aime prendre sérieux',Ambiance
' émotions pu regarder dessin-animé',Ambiance
' film terrorrisait gamine pense faut montrer jeunes enfants Ca perturbe',Ambiance
' Franchement malsain Alice In Wonderland reflète esprit mauvais Disney conte déjà film limite comestible',Réalisation
' adoré vrai date vraiment faut voir jeune ; adulte ans regarde intéressant xD',Ambiance
' Magnifique lasse dessin animé couleurs univers déjanté passionnant acec pleins personnages attachants',Ambiance
' Walt Disney réalise grands dessin-animés temps véritable chef-d’œuvre voir vie',Réalisation
' classique Disney sens incontournable',Scénario
' Alice pays merveilles suit magie couleurs immoralité ambiante pourra satisfaire vieux branlette intellectuelle',Scénario
' seul Magique film bercer enfance pure poésie Lewis Caroll Disney',Ambiance
' grand fan alice pays merveilles dessin-animé reste magique',Ambiance
' chef-d oeuvre classique Disney histoire étrange personnages culte chansons uniques',Réalisation
' Histoire incroyable sublime musique charme',Ambiance
' Disney souvent inégal passages ennuyeux',Ambiance
' chef oeuvre Disney histoire chansons uniques',Réalisation
' super Walt Disney faut bizarreries soutenir comparaison livre Lewis Carroll joyeux non-anniversaire chèèèèèèèèèèèèèère',Réalisation
' forcement meilleur wall disney Alice pays merveilles reste film animation classique voir exempt défaut',Réalisation
' vrai Walt Disney ancienne bourré musiques aiment',Réalisation
' film deçu montre réalité cités françaises fiction film montrant vie réel',Scénario
' adore tro film tré bonne vengeance',Ambiance
' western urbain lignée haine -t crack-er foutu interprété',Ambiance
' film coup poing univers dur grand équipe scénariste réalisateur acteurs',Réalisation
